"PTU331: Eating fruits and vegetables  by age group and county"

"Year","Eating fruits and vegetables","Age group","Estonia","Harju county","Hiiu county","Ida-Viru county","Jıgeva county","J‰rva county","L‰‰ne county","L‰‰ne-Viru county","Pılva county","P‰rnu county","Rapla county","Saare county","Tartu county","Valga county","Viljandi county","Vıru county"
"2011","Did not eat or ate some servings but not every day","All age groups",54.9,48.4,55.7,60.3,69.1,64.1,57.1,67.0,66.7,57.7,52.2,68.2,50.1,62.5,65.9,64.4
"2011","Did not eat or ate some servings but not every day","15-24",49.9,33.4,44.3,61.1,61.9,61.0,53.7,62.1,59.6,62.9,50.8,73.2,58.0,49.9,67.5,54.9
"2011","Did not eat or ate some servings but not every day","25-34",55.6,55.3,62.8,62.2,69.3,70.0,64.6,63.3,54.6,62.8,39.9,75.8,32.1,55.1,64.0,65.4
"2011","Did not eat or ate some servings but not every day","35-44",50.3,43.5,49.8,57.4,72.0,66.0,60.1,66.1,68.8,35.2,57.7,63.4,51.0,57.7,56.2,49.2
"2011","Did not eat or ate some servings but not every day","45-54",56.7,52.1,56.1,61.2,64.0,52.8,50.8,67.7,71.9,55.8,54.3,56.9,49.3,66.2,68.1,76.4
"2011","Did not eat or ate some servings but not every day","55-70",60.7,53.7,65.9,60.1,77.9,73.5,58.3,75.6,78.2,68.3,54.7,70.7,59.1,77.4,71.4,75.3
"2011","1-2 servings per day","All age groups",31.9,36.1,32.4,31.0,21.2,25.4,32.7,26.3,24.6,28.7,30.5,21.9,36.2,22.3,21.3,22.4
"2011","1-2 servings per day","15-24",33.7,47.3,48.3,24.4,17.8,21.7,30.9,24.3,25.8,24.3,30.9,16.5,28.3,28.5,19.2,29.0
"2011","1-2 servings per day","25-34",25.7,22.0,18.0,24.7,22.4,18.5,23.6,32.3,32.9,21.9,36.0,9.7,49.0,36.6,13.9,9.3
"2011","1-2 servings per day","35-44",41.0,50.6,35.9,40.8,25.7,23.2,36.4,29.1,28.9,43.4,25.6,25.4,31.7,12.8,34.8,36.7
"2011","1-2 servings per day","45-54",30.8,32.4,26.7,28.7,29.3,33.9,39.4,25.1,22.5,29.0,24.6,26.8,45.7,13.7,21.5,17.3
"2011","1-2 servings per day","55-70",29.5,32.8,29.6,32.6,15.3,25.1,32.3,21.7,15.8,27.2,38.0,29.3,28.4,21.4,19.2,21.0
"2011","3-4 servings per day","All age groups",11.0,14.1,6.6,6.2,8.1,6.1,7.0,5.9,5.2,8.8,12.6,8.5,11.5,13.4,11.0,9.4
"2011","3-4 servings per day","15-24",13.7,19.3,2.8,7.0,13.8,7.2,8.6,13.6,7.1,7.5,13.9,8.5,9.2,21.6,13.4,12.2
"2011","3-4 servings per day","25-34",16.1,19.6,12.1,12.0,8.4,11.5,11.7,2.7,7.5,14.2,24.1,8.0,18.0,7.3,14.7,14.1
"2011","3-4 servings per day","35-44",7.1,5.9,2.9,1.8,2.3,8.1,3.5,2.4,2.3,14.1,4.2,11.3,12.8,29.5,7.7,10.4
"2011","3-4 servings per day","45-54",9.8,14.7,13.6,4.9,6.7,5.2,7.9,7.3,3.8,4.8,16.6,16.2,4.1,10.7,10.4,6.4
"2011","3-4 servings per day","55-70",8.4,11.4,3.0,6.0,6.8,1.4,4.3,2.7,4.7,3.8,7.3,0.0,12.6,1.1,8.6,3.7
"2011","5 or more servings per day *","All age groups",2.2,1.4,5.3,2.5,1.7,4.4,3.1,0.7,3.5,4.8,4.7,1.4,2.2,1.9,1.8,3.8
"2011","5 or more servings per day *","15-24",2.7,0.0,4.6,7.4,6.5,10.1,6.7,0.0,7.6,5.3,4.3,1.8,4.5,0.0,0.0,3.8
"2011","5 or more servings per day *","25-34",2.6,3.1,7.1,1.1,0.0,0.0,0.0,1.7,5.0,1.1,0.0,6.5,0.9,1.0,7.5,11.2
"2011","5 or more servings per day *","35-44",1.7,0.0,11.5,0.0,0.0,2.8,0.0,2.4,0.0,7.3,12.5,0.0,4.5,0.0,1.3,3.7
"2011","5 or more servings per day *","45-54",2.6,0.8,3.6,5.3,0.0,8.2,2.0,0.0,1.9,10.5,4.4,0.0,0.9,9.5,0.0,0.0
"2011","5 or more servings per day *","55-70",1.3,2.1,1.5,1.3,0.0,0.0,5.2,0.0,1.3,0.7,0.0,0.0,0.0,0.0,0.9,0.0
