"RV022U: POPULATION, 1 JANUARY by Year, County, Sex and Age group"

"Year","County","Sex","Age groups total"
"2019","Harju county","Males and females",598059
"2019","Hiiu county","Males and females",9387
"2019","Ida-Viru county","Males and females",136240
"2019","Jõgeva county","Males and females",28734
"2019","Järva county","Males and females",30286
"2019","Lääne county","Males and females",20507
"2019","Lääne-Viru county","Males and females",59325
"2019","Põlva county","Males and females",25006
"2019","Pärnu county","Males and females",85938
"2019","Rapla county","Males and females",33311
"2019","Saare county","Males and females",33108
"2019","Tartu county","Males and females",152977
"2019","Valga county","Males and females",28370
"2019","Viljandi county","Males and females",46371
"2019","Võru county","Males and females",35782
