date,persons_involved,killed,injured,county,pedestrian_involved,accident_type,light_conditions
2014-10-24 08:45:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2014-10-24 13:45:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2014-08-11 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2014-11-17 17:32:00,2,0,2,Harju maakond,0,Kokkupõrge,Pimeda aeg
2015-04-28 07:55:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2014-06-10 00:00:00,2,0,2,Harju maakond,0,Kokkupõrge,Valge aeg
2014-10-24 14:00:00,3,0,4,Harju maakond,0,Kokkupõrge,Valge aeg
2014-05-11 00:00:00,1,0,1,Harju maakond,0,Muu liiklusõnnetus,Pimeda aeg
2013-11-18 08:50:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2014-01-03 00:00:00,2,0,1,Harju maakond,0,Muu liiklusõnnetus,Valge aeg
2014-10-03 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2014-07-14 19:53:00,1,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2014-08-15 10:25:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2014-03-10 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2014-10-20 01:54:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2014-03-11 00:00:00,1,0,1,Harju maakond,0,Muu liiklusõnnetus,Pimeda aeg
2014-11-21 10:04:00,3,0,2,Harju maakond,0,Kokkupõrge,Valge aeg
2014-12-20 07:20:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2015-08-01 00:00:00,4,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2015-09-01 00:00:00,3,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2015-01-14 07:42:00,1,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2015-01-14 07:35:00,8,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2015-04-03 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2015-03-28 13:10:00,3,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2015-08-04 00:00:00,3,0,2,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2015-04-29 11:45:00,2,0,2,Harju maakond,0,Kokkupõrge,Valge aeg
2015-05-16 16:55:00,3,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2015-05-22 18:05:00,1,0,1,Harju maakond,1,Muu liiklusõnnetus,Valge aeg
2015-05-28 21:50:00,3,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2015-05-29 22:45:00,5,1,3,Harju maakond,0,Kokkupõrge,Valge aeg
2015-05-30 23:08:00,2,0,1,Harju maakond,0,Muu liiklusõnnetus,Pimeda aeg
2015-01-07 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2015-06-07 00:00:00,2,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2015-07-18 05:47:00,3,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2015-09-08 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2015-08-18 13:50:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2015-08-31 14:09:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2015-03-09 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2015-09-09 00:00:00,2,0,1,Harju maakond,0,Muu liiklusõnnetus,Valge aeg
2015-10-09 00:00:00,3,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2015-09-16 16:39:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2015-09-20 19:26:00,3,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
2015-08-10 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Valge aeg
2015-10-13 01:29:00,1,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2015-10-27 11:45:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2015-03-11 00:00:00,4,0,2,Harju maakond,0,Kokkupõrge,Valge aeg
2015-11-20 05:31:00,2,1,0,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2015-04-12 00:00:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2015-09-12 00:00:00,3,1,0,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2016-03-01 00:00:00,2,0,1,Harju maakond,0,Ühesõidukiõnnetus,Pimeda aeg
2016-10-01 00:00:00,1,0,1,Harju maakond,0,Ühesõidukiõnnetus,Valge aeg
2016-01-18 12:17:00,3,0,2,Harju maakond,0,Kokkupõrge,Valge aeg
2016-01-24 12:15:00,2,0,1,Harju maakond,1,Jalakäijaõnnetus,Valge aeg
2016-02-19 17:29:00,2,0,1,Harju maakond,0,Muu liiklusõnnetus,Pimeda aeg
2016-02-20 16:02:00,2,0,1,Harju maakond,0,Teadmata,Valge aeg
2016-02-28 17:41:00,1,0,1,Harju maakond,1,Jalakäijaõnnetus,Pimeda aeg
2016-06-04 00:00:00,2,0,1,Harju maakond,0,Kokkupõrge,Pimeda aeg
