"TKU80: Use of a reflector in the dark by sex and age group"

"Type of data";"Year";"Reflector use";"Sex";"All age groups (16-64)";"16-24";"25-34";"35-44";"45-54";"55-64"
"Unweighted";"2022";"Never";"Men and women";5.4;11.3;8.2;5.8;2.8;2.6
"Unweighted";"2022";"Never";"Men";7.4;14.3;12.4;7.2;3.9;2.7
"Unweighted";"2022";"Never";"Women";3.9;8.8;5.0;4.6;2.0;2.5
"Unweighted";"2022";"Sometimes";"Men and women";24.8;37.4;30.4;25.2;19.3;19.3
"Unweighted";"2022";"Sometimes";"Men";32.3;46.7;36.2;30.9;26.1;28.7
"Unweighted";"2022";"Sometimes";"Women";19.4;29.6;26.0;20.6;14.8;13.7
"Unweighted";"2022";"Nearly always";"Men and women";62.5;47.4;54.3;62.9;70.5;67.8
"Unweighted";"2022";"Nearly always";"Men";49.9;34.3;40.5;52.2;58.6;55.9
"Unweighted";"2022";"Nearly always";"Women";71.4;58.4;64.9;71.4;78.4;74.9
"Unweighted";"2022";"Never walk on dark streets, roads";"Men and women";7.4;3.9;7.0;6.2;7.5;10.3
"Unweighted";"2022";"Never walk on dark streets, roads";"Men";10.4;4.8;10.8;9.7;11.3;12.8
"Unweighted";"2022";"Never walk on dark streets, roads";"Women";5.3;3.2;4.1;3.4;4.9;8.9
